,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,9 days 00:00:00,30199.22841767793,173.77925197697775,135.5379557168615,0.07853775670212441,0.07061748053844893,0.07916946816639492,0.8165322580645161
1,9 days 03:00:00,30493.673267131802,174.6243776427902,136.19475465950185,0.07894587698908274,0.07061748053844893,0.07953747016625864,0.8139400921658982
2,9 days 06:00:00,30653.085791597106,175.08022672934,136.5042739945653,0.07912841702132689,0.07024123797956208,0.07970048661026999,0.8139400921658984
3,9 days 09:00:00,30722.693474452546,175.27890196613095,136.70804230317268,0.07932502330708005,0.07024123797956208,0.07983923744394031,0.814228110599078
4,9 days 12:00:00,31035.611806599518,176.16927032430917,137.38772181750963,0.07986098469360729,0.0707221692360147,0.0802976953804131,0.8139400921658981
5,9 days 15:00:00,30905.43904882582,175.79942846558353,137.22983616783515,0.07975845679008496,0.07061748053844893,0.0801985671874744,0.8139400921658985
6,9 days 18:00:00,31090.59116982333,176.3252425769587,137.5931069992958,0.08005887504314951,0.0712918109928574,0.08047558369766622,0.8139400921658988
7,9 days 21:00:00,30506.608512574454,174.66141105743552,136.3630670399613,0.07949312249919338,0.07028018137198136,0.07984811981810484,0.8176843317972348
8,10 days 00:00:00,31469.978579658087,177.3977975614638,138.0698228446007,0.08039126531451812,0.0712918109928574,0.08069150022152372,0.81221198156682
9,10 days 03:00:00,31474.71623517873,177.4111502560612,138.1803482040145,0.08046605194736753,0.07151241789545722,0.08071975196482806,0.8081797235023039
10,10 days 06:00:00,31558.1919795377,177.64625518016894,138.3939543189841,0.0805373984989684,0.07180407347743248,0.080787661133382,0.8041474654377877
11,10 days 09:00:00,31577.23343536657,177.69984084226573,138.76584085398656,0.08082968418845665,0.07314817300919911,0.08102016410102905,0.8041474654377877
12,10 days 12:00:00,31901.25745003662,178.60923114452012,139.51454149368422,0.08144783492598244,0.07292224723212795,0.08152584619746796,0.8021313364055297
13,10 days 15:00:00,31748.67186828659,178.18156994562202,139.34920146238568,0.08137366425479545,0.07243785927033988,0.08142964331346249,0.8076036866359445
14,10 days 18:00:00,31867.4568846725,178.5145845153065,139.7465560839221,0.08167997004941042,0.07292224723212795,0.08172063924147104,0.8078917050691241
15,10 days 21:00:00,31130.368908690398,176.43800301717994,138.33938654145405,0.08098531907128985,0.07180407347743248,0.08097776107032731,0.8099078341013822
16,11 days 00:00:00,31764.435962054766,178.22580049491927,139.73268372629317,0.08169794475775757,0.07314817300919911,0.08164856412582239,0.8058755760368662
17,11 days 03:00:00,31604.235715074137,177.77580182655382,139.6636158876554,0.08173292531453087,0.07292224723212795,0.08161263626653933,0.8041474654377876
18,11 days 06:00:00,31593.465503974963,177.7455076899975,139.77595784233364,0.08184665016970666,0.07292224723212795,0.08169125686998877,0.8041474654377878
19,11 days 09:00:00,31513.122922319668,177.51935928883833,139.86622787891267,0.08196337204977945,0.07292224723212795,0.08176332139140277,0.8061635944700457
20,11 days 12:00:00,31920.833486065065,178.66402403971838,140.8589559733133,0.08267915982787284,0.07314817300919911,0.08238312371567495,0.8038594470046085
21,11 days 15:00:00,31951.64977982452,178.75024413920255,141.07788344674253,0.0828499640984414,0.07180407347743248,0.0825067625593007,0.8018433179723506
22,11 days 18:00:00,32299.071753588327,179.7194250869625,141.6584593262168,0.08331825961651315,0.07243785927033988,0.08290494526665368,0.7998271889400921
23,11 days 21:00:00,31890.75268681927,178.5798216115675,141.04867542587505,0.08304054865936812,0.07314817300919911,0.08259914981705703,0.8027073732718897
24,12 days 00:00:00,32478.933404296393,180.21912607793988,142.3377614570307,0.08365874430802997,0.07338782885841719,0.08319785321757553,0.7978110599078345
25,12 days 03:00:00,32508.62976642878,180.30149685021692,142.38667000713633,0.08374357056448105,0.07338782885841719,0.08324718521816796,0.7957949308755761
26,12 days 06:00:00,32557.4676011336,180.4368798254215,142.5226181617606,0.08384982122719926,0.07338782885841719,0.08333506019101684,0.7957949308755764
27,12 days 09:00:00,32483.987807908004,180.23314847138414,142.4218328204079,0.08380734765063858,0.07266378504741106,0.08327099280563274,0.7978110599078343
28,12 days 12:00:00,32439.76403167175,180.1104217741765,142.40427208622023,0.08377883507370565,0.07151241789545722,0.0832535366323872,0.7978110599078344
29,12 days 15:00:00,32302.263912063663,179.72830581759698,142.06166244102667,0.08348583654626641,0.07139814572723546,0.08299596242028531,0.7992511520737329
30,12 days 18:00:00,32314.309139537505,179.76181223924482,142.1766691840994,0.0835320701448343,0.07138895669719938,0.08308002857066193,0.7983870967741935
