,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,9 days 00:00:00,19455977.472820573,4410.893047084748,3799.6761359851757,0.1434718503473248,0.15214895277373972,0.14258954406269472,0.32747695852534553
1,9 days 03:00:00,19789709.90364152,4448.562678398666,3839.7170735047494,0.14493520724054654,0.15398326599892811,0.14403544590709225,0.3234447004608292
2,9 days 06:00:00,20179190.373586934,4492.125373760948,3884.4479432471862,0.14655159202683493,0.15430218871825926,0.1456188412567199,0.3156682027649769
3,9 days 09:00:00,20312614.16769601,4506.951760080866,3904.7613301642614,0.14745644641648248,0.15600094229369393,0.1464879787235667,0.3133640552995391
4,9 days 12:00:00,20534511.72001561,4531.502148296479,3934.621955179178,0.1486926707383061,0.15541934093713283,0.14772787757305253,0.3093317972350228
5,9 days 15:00:00,20761392.494660817,4556.4671067243335,3965.7485466630314,0.15000796328591265,0.15627098246276308,0.14901975445197813,0.30529953917050684
6,9 days 18:00:00,20903694.2339908,4572.055799527254,3988.47727726078,0.15098696833116154,0.15658192371730006,0.15004019451200562,0.3012672811059909
7,9 days 21:00:00,20967842.59319656,4579.065689984865,3992.1135998846958,0.15129471296828334,0.15663458949219528,0.15035489223400725,0.302995391705069
8,10 days 00:00:00,21300975.790813804,4615.298017551391,4023.8054693040226,0.15230851332328502,0.15658192371730006,0.15136124061073314,0.29925115207373276
9,10 days 03:00:00,21456355.8642099,4632.10058874048,4042.578209152946,0.15304823421778477,0.15658192371730006,0.1520671786972019,0.2969470046082948
10,10 days 06:00:00,21711128.499409888,4659.520200558196,4071.301799441747,0.1540402082477678,0.15663458949219528,0.15307549957215005,0.29349078341013823
11,10 days 09:00:00,21773534.146035887,4666.2119696854625,4075.7359454791963,0.15431360642370218,0.15663458949219528,0.1533405712810427,0.29320276497695846
12,10 days 12:00:00,21922067.447915494,4682.100751576742,4090.72358177999,0.15485316499804866,0.15681894430469848,0.1538939079458248,0.29118663594470046
13,10 days 15:00:00,22119428.18583527,4703.129616099823,4110.1041025098275,0.15555103643716714,0.15681894430469848,0.1545719457398543,0.28888248847926246
14,10 days 18:00:00,22237964.74067742,4715.714658530287,4125.473681744154,0.15602616360434465,0.15784064413958132,0.15512053902192807,0.28513824884792605
15,10 days 21:00:00,22158940.799806874,4707.328414271398,4116.064975410577,0.15586663120369904,0.15717162301433432,0.15493882923524285,0.28859447004608285
16,11 days 00:00:00,22427590.19904556,4735.777676268763,4139.058349456896,0.15655156119863853,0.15717162301433432,0.15560249778130533,0.28888248847926246
17,11 days 03:00:00,22568633.34195218,4750.64557107265,4150.564843039072,0.15697991249584098,0.15784064413958132,0.1559376406917491,0.28888248847926246
18,11 days 06:00:00,22737636.370884843,4768.399770456001,4164.14501234843,0.15744901365476938,0.15843292867892933,0.15628402648802892,0.28888248847926246
19,11 days 09:00:00,22799596.32036636,4774.892283640162,4169.566329007419,0.15769989496553213,0.15875366370637162,0.1564377379357146,0.2888824884792626
20,11 days 12:00:00,23110570.966819797,4807.345521888332,4199.2114070685975,0.15870464253262292,0.16064106018521773,0.15730309671336795,0.2860023041474656
21,11 days 15:00:00,23425428.368135042,4839.982269402962,4226.7395639258175,0.15970247641511384,0.1609519743493312,0.15812474597352683,0.28398617511520774
22,11 days 18:00:00,23727465.060915735,4871.0845877397505,4251.266219773279,0.1606235051407736,0.16151441454929902,0.15890372254712923,0.283410138248848
23,11 days 21:00:00,23756635.694251582,4874.077932722412,4255.315078038676,0.160823617145029,0.16151441454929902,0.1590713776339047,0.28341013824884803
