,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,2021-01-06 00:00:00,28283.594244165695,25202.947029241077,31162.652587455214,33130.0,2021-01-05 21:00:00
1,2021-01-06 03:00:00,26944.024129044825,23762.74159460865,29885.631997646567,32452.0,2021-01-05 21:00:00
2,2021-01-06 06:00:00,27774.64929972689,24994.86834091156,30824.875404619244,32935.0,2021-01-05 21:00:00
3,2021-01-06 09:00:00,27991.85354911572,24966.731581543987,30897.268689133838,32762.0,2021-01-05 21:00:00
4,2021-01-06 12:00:00,27911.71772502034,24968.78175830475,30891.461056825632,32792.0,2021-01-05 21:00:00
5,2021-01-06 15:00:00,26880.490907456166,23741.25533693724,29827.638879807735,32127.0,2021-01-05 21:00:00
6,2021-01-06 18:00:00,28573.864376552356,25563.865237850423,31693.762075374245,33858.0,2021-01-05 21:00:00
7,2021-01-06 21:00:00,28147.17912964525,24992.81765756194,31017.101305857235,32558.0,2021-01-05 21:00:00
8,2021-01-07 00:00:00,27451.541252940904,24337.614028853488,30366.189125172117,33143.0,2021-01-05 21:00:00
9,2021-01-07 03:00:00,26040.29851907837,23003.804754041594,28977.742003687323,32525.0,2021-01-05 21:00:00
10,2021-01-07 06:00:00,26807.25629598908,23697.305665036016,29842.732191319694,33155.0,2021-01-05 21:00:00
11,2021-01-07 09:00:00,27013.449237244728,24138.095017006992,29939.328751450656,32627.0,2021-01-05 21:00:00
12,2021-01-07 12:00:00,26924.320921138326,23892.144372628838,29915.561015650714,32205.0,2021-01-05 21:00:00
13,2021-01-07 15:00:00,25926.111937083027,23107.137109983756,28966.544712570696,31467.0,2021-01-05 21:00:00
14,2021-01-07 18:00:00,27696.97443258556,24673.84069498843,30587.370118199113,33812.0,2021-01-05 21:00:00
15,2021-01-07 21:00:00,27546.99514189495,24655.799135886766,30391.620007794838,32750.0,2021-01-05 21:00:00
16,2021-01-08 00:00:00,27095.46985125043,24257.679066716715,30085.969897999377,35289.0,2021-01-05 21:00:00
17,2021-01-08 03:00:00,26001.74824639591,23155.244914677773,28849.427624338987,34836.0,2021-01-05 21:00:00
18,2021-01-08 06:00:00,26925.517029869327,23911.531293665874,29908.584342293514,35510.0,2021-01-05 21:00:00
19,2021-01-08 09:00:00,27095.269371947506,24246.513136041838,29952.389467124056,34897.0,2021-01-05 21:00:00
20,2021-01-08 12:00:00,26947.545860515944,24001.1438256482,29781.324558444234,34300.0,2021-01-05 21:00:00
21,2021-01-08 15:00:00,25890.530961217864,22886.68940307302,28782.38584515095,33575.0,2021-01-05 21:00:00
22,2021-01-08 18:00:00,27714.01195879616,24771.320107651005,30567.499264769605,35556.0,2021-01-05 21:00:00
23,2021-01-08 21:00:00,27539.80125385854,24724.08091853492,30554.870974372123,34719.0,2021-01-05 21:00:00
24,2021-01-09 00:00:00,27079.119024298805,24102.816287781316,30135.418622181678,38605.0,2021-01-05 21:00:00
25,2021-01-09 03:00:00,25954.481817649255,22862.93282149601,28947.562635856986,37942.0,2021-01-05 21:00:00
26,2021-01-09 06:00:00,27052.432205456484,24215.269640036142,29973.606254324535,38264.0,2021-01-05 21:00:00
27,2021-01-09 09:00:00,27573.820230697747,24349.065038368342,30398.366739792305,39314.0,2021-01-05 21:00:00
28,2021-01-09 12:00:00,27756.84865468182,24737.003792815296,30682.406842592613,39205.0,2021-01-05 21:00:00
29,2021-01-09 15:00:00,26740.20758988987,23711.92995035201,29902.172577307494,38160.0,2021-01-05 21:00:00
30,2021-01-09 18:00:00,28229.647968198027,25320.096759554966,31528.35506628469,39335.0,2021-01-05 21:00:00
31,2021-01-09 21:00:00,27512.65405185457,24492.699821009417,30431.243189128127,38227.0,2021-01-05 21:00:00
32,2021-01-10 00:00:00,26823.110638488848,24003.73161695496,29821.711006634876,37810.0,2021-01-05 21:00:00
33,2021-01-10 03:00:00,25604.276541007446,22626.99474879398,28492.80209147332,37473.0,2021-01-05 21:00:00
34,2021-01-10 06:00:00,26912.078213791854,24213.755624545865,30038.039054584766,37814.0,2021-01-05 21:00:00
35,2021-01-10 09:00:00,27754.385086261962,24907.520376544275,30664.402029811772,38928.0,2021-01-05 21:00:00
36,2021-01-10 12:00:00,27981.72091441176,25253.648886579438,30903.864306623647,38330.0,2021-01-05 21:00:00
37,2021-01-10 15:00:00,26835.704461152465,24054.882005823973,29872.180119442877,37129.0,2021-01-05 21:00:00
38,2021-01-10 18:00:00,28122.013530873155,25133.726542144417,30958.307419193374,38937.0,2021-01-05 21:00:00
39,2021-01-10 21:00:00,27510.99353659695,24425.5683959315,30588.471635664522,37813.0,2021-01-05 21:00:00
40,2021-01-11 00:00:00,26620.42885751798,23621.900658070637,29735.852336396016,36605.0,2021-01-05 21:00:00
41,2021-01-11 03:00:00,25423.057278769444,22508.390024842698,28347.989251998843,36010.0,2021-01-05 21:00:00
42,2021-01-11 06:00:00,26441.713540599165,23546.656757308552,29384.585637249038,38100.0,2021-01-05 21:00:00
43,2021-01-11 09:00:00,26865.11219119767,23961.899037703086,30056.65018384681,35946.0,2021-01-05 21:00:00
44,2021-01-11 12:00:00,27039.14343956716,24088.90213316241,29939.11392432999,32453.0,2021-01-05 21:00:00
45,2021-01-11 15:00:00,26038.807357975358,23140.72490649035,29058.9791492964,29476.0,2021-01-05 21:00:00
