,horizon,mse,rmse,mae,mdape,smape,coverage
0,9 days 00:00:00,1431766237865.4102,1196564.3475657338,959088.7435062451,2.3139485826980946,1.152850959874345,0.7880897138437745
1,9 days 00:30:00,1432484814099.5828,1196864.5763408586,959576.2008495419,2.3139485826980946,1.1528509598743466,0.7880897138437742
2,9 days 01:00:00,1433180481864.5088,1197155.161983821,960059.226689533,2.3139485826980946,1.1528509598743475,0.7880897138437745
3,9 days 01:30:00,1433865401675.2112,1197441.1892344488,960537.2561029384,2.3139485826980946,1.1528509598743475,0.788089713843775
4,9 days 02:00:00,1434554472541.3706,1197728.881066734,961011.59441314,2.3139485826980946,1.1528509598743448,0.7880897138437751
5,9 days 02:30:00,1435261046539.0022,1198023.8088364531,961484.9562680768,2.3139485826980946,1.1528509598743464,0.7880897138437748
6,9 days 03:00:00,1435993102791.7524,1198329.296475619,961960.4757580921,2.3139485826980946,1.1528509598743475,0.788089713843775
7,9 days 03:30:00,1436748866323.3394,1198644.5955008261,962440.4655847322,2.3139485826980946,1.1528509598743455,0.7880897138437741
8,9 days 04:00:00,1437437741873.8955,1198931.9171136848,962866.6974468281,2.3139485826980946,1.1528509598743462,0.7880897138437748
9,9 days 04:30:00,1438128940136.0405,1199220.138313246,963302.9231627338,2.3139485826980946,1.1528509572806749,0.7880897138437742
10,9 days 05:00:00,1438863756711.3591,1199526.4718676945,963793.500542894,2.3139485826980946,1.152852527051778,0.7880897138437738
11,9 days 05:30:00,1439581412442.6077,1199825.5758411752,964282.9474747791,2.3139485826980946,1.1529340093511884,0.788089713843774
12,9 days 06:00:00,1440441798614.741,1200184.0686389487,964871.5344510081,2.3139485826980946,1.1534821980999042,0.7880897138437742
13,9 days 06:30:00,1441577059001.514,1200656.928102909,965718.1705405219,2.3687167997417986,1.1546852564832752,0.788089713843774
14,9 days 07:00:00,1442643006517.4595,1201100.7478631672,966625.5169361696,2.4264394388901747,1.1557048281773432,0.7880897138437742
15,9 days 07:30:00,1443344623600.327,1201392.7848960666,966896.3469877222,2.3919724977947854,1.15502201729478,0.7880897138437741
16,9 days 08:00:00,1443746841503.8733,1201560.169739274,966819.2149279773,2.3687167997417986,1.1541599459421763,0.7873163186388247
17,9 days 08:30:00,1444241340879.8943,1201765.925993866,966958.7296429414,2.344912413644707,1.1535618578482618,0.7865429234338744
18,9 days 09:00:00,1445158091286.8362,1202147.2835251247,967444.3997933218,2.344912413644707,1.1530372129097861,0.7860273266305751
19,9 days 09:30:00,1446990875557.2488,1202909.3380455773,968221.6786001391,2.2874119761205924,1.1525814077438705,0.7852539314256255
20,9 days 10:00:00,1448170452180.365,1203399.539712545,968790.4684202396,2.2762329514511332,1.1520908884954564,0.7844805362206749
21,9 days 10:30:00,1450646694155.7822,1204427.9530780504,969633.3974474102,2.2762329514511332,1.1517335543896277,0.7837071410157255
22,9 days 11:00:00,1455137595870.9214,1206290.8421566174,971239.5337245258,2.2527682244682197,1.1515704426762834,0.7829337458107757
23,9 days 11:30:00,1459602129272.3496,1208139.946062686,972871.4387411111,2.2527682244682197,1.1514201166144622,0.7821603506058256
24,9 days 12:00:00,1464272572476.2356,1210071.308839374,974353.7767422862,2.2527682244682197,1.1513080711941799,0.7813869554008767
25,9 days 12:30:00,1469864913588.2502,1212379.8553210336,975964.0503184046,2.2527682244682197,1.1512602932306528,0.7806135601959264
26,9 days 13:00:00,1476991731239.624,1215315.4862995963,977838.0214109612,2.2527682244682197,1.151269941731432,0.7798401649909769
27,9 days 13:30:00,1483251533445.7974,1217888.1448826888,979557.7773347967,2.2527682244682197,1.1512786912576922,0.7790667697860278
28,9 days 14:00:00,1487828719735.084,1219765.8462734083,980760.3741757576,2.2527682244682197,1.1511845345665266,0.7788089713843767
29,9 days 14:30:00,1490707396834.9663,1220945.2882234184,981358.3784367505,2.2527682244682197,1.1509397575088545,0.7795823665893277
30,9 days 15:00:00,1493639771255.5205,1222145.5605841395,981941.3499705958,2.2527682244682197,1.1506111480166117,0.7803557617942768
31,9 days 15:30:00,1495146426399.0974,1222761.802805067,982039.6763102569,2.2527682244682197,1.1501938313298279,0.7806135601959263
32,9 days 16:00:00,1497216175201.8267,1223607.8518879432,982377.9065073255,2.2527682244682197,1.1498085822241912,0.7806135601959264
33,9 days 16:30:00,1498978298054.139,1224327.6922679397,982769.3440968142,2.2527682244682197,1.1494654645864149,0.7800979633926262
34,9 days 17:00:00,1499149300359.3486,1224397.5254627676,982747.401839143,2.2527682244682197,1.1490992121673758,0.7800979633926259
35,9 days 17:30:00,1498728120923.2407,1224225.5188171992,982331.7678931754,2.2527682244682197,1.1485701566884943,0.7803557617942761
36,9 days 18:00:00,1497760414675.1577,1223830.2229783172,981664.2216218807,2.2527682244682197,1.1478326354962909,0.7803557617942762
37,9 days 18:30:00,1497328914263.594,1223653.9193185277,981291.2307688013,2.2304251949457035,1.1472906716863884,0.780355761794276
38,9 days 19:00:00,1497478333203.6682,1223714.9722070366,981517.466385537,2.2133206438579545,1.1471287149505915,0.7803557617942767
39,9 days 19:30:00,1497803774984.2827,1223847.9378518732,981811.6341838121,2.2133206438579545,1.146651816517851,0.7803557617942773
40,9 days 20:00:00,1498247157405.231,1224029.067222356,982149.843129705,2.2133206438579545,1.1463232425611132,0.7803557617942766
