ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee
07510;2020-06-02T11:00:00+02:00;101660;10.0;0;70;2.0;295.85;288.15;62;16610.0;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;;;;0;;;;;101100.0;;;270.0;;;;;291.05;;;4.2;4.5;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;14.8;;;;;;;;;;;;;;;;;44.830667,-0.691333;BORDEAUX-MERIGNAC;0;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;22.700000000000045;;;;;17.900000000000034;44.830667;-0.691333;47;Mérignac;33281;Bordeaux Métropole;243300316;Gironde;33;Nouvelle-Aquitaine;75;6
07510;2020-06-02T14:00:00+02:00;101550;-100.0;8;180;1.0;299.55;287.35;47;18830.0;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;;;;2;1250.0;;;;101000.0;;;140.0;;;;;291.05;;;3.0;5.0;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;14.8;;;;;2.0;;1260.0;;;;;;;;;;44.830667,-0.691333;BORDEAUX-MERIGNAC;8;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;26.400000000000034;;;;;17.900000000000034;44.830667;-0.691333;47;Mérignac;33281;Bordeaux Métropole;243300316;Gironde;33;Nouvelle-Aquitaine;75;6
07510;2020-06-09T14:00:00+02:00;101860;-20.0;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;270;4.5;290.75;287.45;81;4320.0;Brume;;;75.0;1;800.0;;;;101290.0;;;230.0;;;;;285.75;;;6.4;8.1;-10.0;1;0.0;;;3.7;3.7;3.7;3.7;5.3;;;;;1.0;;960.0;6.0;;2760.0;;9;;;;;44.830667,-0.691333;BORDEAUX-MERIGNAC;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;Brume;17.600000000000023;;;;;12.600000000000023;44.830667;-0.691333;47;Mérignac;33281;Bordeaux Métropole;243300316;Gironde;33;Nouvelle-Aquitaine;75;6
07510;2020-06-10T23:00:00+02:00;101500;-60.0;En baisse;150;1.1;288.65;284.45;76;28410.0;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;;;90.0;7;2250.0;;;;100930.0;;;-460.0;;;;;290.45;;;1.7;2.9;-10.0;0;0.0;;;0.0;0.0;-0.1;-0.1;0.2;;;;;1.0;;2160.0;3.0;;2760.0;7.0;;3360.0;;;;44.830667,-0.691333;BORDEAUX-MERIGNAC;En baisse;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;15.5;;;;;17.30000000000001;44.830667;-0.691333;47;Mérignac;33281;Bordeaux Métropole;243300316;Gironde;33;Nouvelle-Aquitaine;75;6
07510;2020-05-26T02:00:00+02:00;102840;-10.0;0;30;3.5;290.85;284.15;65;31980.0;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;;;;0;;;;;102270.0;;;-130.0;;;;;289.15;;;4.5;4.5;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;44.830667,-0.691333;BORDEAUX-MERIGNAC;0;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;17.700000000000045;;;;;16.0;44.830667;-0.691333;47;Mérignac;33281;Bordeaux Métropole;243300316;Gironde;33;Nouvelle-Aquitaine;75;5
07510;2020-05-26T08:00:00+02:00;102940;100.0;3;30;3.2;290.05;284.35;69;28040.0;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;;;;0;;;;;102360.0;;;-40.0;287.75;;298.35;;287.25;;;4.6;5.0;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;44.830667,-0.691333;BORDEAUX-MERIGNAC;3;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;16.900000000000034;14.600000000000023;;25.200000000000045;;14.100000000000023;44.830667;-0.691333;47;Mérignac;33281;Bordeaux Métropole;243300316;Gironde;33;Nouvelle-Aquitaine;75;5
07510;2020-05-26T11:00:00+02:00;102930;0.0;0;50;3.8;294.45;283.85;51;20040.0;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;;;;0;;;;;102360.0;;;60.0;;;;;287.25;;;6.7;7.7;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;44.830667,-0.691333;BORDEAUX-MERIGNAC;0;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;21.30000000000001;;;;;14.100000000000023;44.830667;-0.691333;47;Mérignac;33281;Bordeaux Métropole;243300316;Gironde;33;Nouvelle-Aquitaine;75;5
07510;2020-05-31T20:00:00+02:00;101060;-30.0;En baisse, puis en hausse, la pression atmosphérique est la même ou plus basse que trois heures auparavant;110;2.7;301.65;284.65;35;41540.0;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;;;90.0;7;2250.0;;;;100520.0;;;-120.0;292.35;;303.65;;;;;4.1;7.3;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;7.0;;2160.0;7.0;;2460.0;;;;;;;44.830667,-0.691333;BORDEAUX-MERIGNAC;En baisse, puis en hausse, la pression atmosphérique est la même ou plus basse que trois heures auparavant;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;28.5;19.200000000000045;;30.5;;;44.830667;-0.691333;47;Mérignac;33281;Bordeaux Métropole;243300316;Gironde;33;Nouvelle-Aquitaine;75;5
07510;2020-05-28T08:00:00+02:00;102560;10.0;3;100;2.9;292.05;284.15;60;40230.0;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;;;;0;;;;;101990.0;;;-200.0;289.25;;301.15;;287.55;;;4.3;4.3;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;44.830667,-0.691333;BORDEAUX-MERIGNAC;3;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;18.900000000000034;16.100000000000023;;28.0;;14.400000000000034;44.830667;-0.691333;47;Mérignac;33281;Bordeaux Métropole;243300316;Gironde;33;Nouvelle-Aquitaine;75;5
07510;2020-05-28T20:00:00+02:00;102010;-130.0;6;40;4.4;301.75;282.45;30;25980.0;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;;;;0;;;;;101460.0;;;-490.0;292.05;;303.05;;290.55;;;6.1;7.7;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;44.830667,-0.691333;BORDEAUX-MERIGNAC;6;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;28.600000000000023;18.900000000000034;;29.900000000000034;;17.400000000000034;44.830667;-0.691333;47;Mérignac;33281;Bordeaux Métropole;243300316;Gironde;33;Nouvelle-Aquitaine;75;5
